mnis_id,given_name,family_name,display_name,party_mnis_id,party_name,party_membership_start_date,party_membership_end_date
513,Alan,Beith,Lord Beith,17,Liberal Democrat,2015-10-19,NA
1060,Ronald,Bell,Sir Ronald Bell,4,Conservative,1945-05-17,NA
431,Martin,Bell,Mr Martin Bell,8,Independent,1997-05-01,NA
1441,Henry,Bellingham,Sir Henry Bellingham,4,Conservative,2017-06-08,2019-11-06
719,David,Bellotti,David Bellotti,17,Liberal Democrat,1990-10-18,NA
1192,Vivian,Bendall,Mr Vivian Bendall,4,Conservative,1978-03-02,NA
326,Anthony,Benn,Mr Tony Benn,15,Labour,1950-11-30,NA
413,Hilary,Benn,Hilary Benn,15,Labour,2017-06-08,2019-11-06
1002,Frederic,Bennett,Sir Frederic Bennett,4,Conservative,1955-12-15,NA
443,Andrew,Bennett,Andrew Bennett,15,Labour,1974-02-28,NA
1089,Nicholas,Bennett,Nicholas Bennett,4,Conservative,1987-06-11,NA
1077,William,Benyon,Sir William Benyon,4,Conservative,1970-06-18,NA
1086,Thomas,Benyon,Thomas Benyon,4,Conservative,1979-05-03,NA
1547,Richard,Benyon,Richard Benyon,4,Conservative,2017-06-08,2019-09-04
17,John,Bercow,John Bercow,47,Speaker,2017-06-08,2019-11-04
103,Alexander,Beresford,Sir Paul Beresford,4,Conservative,2017-06-08,2019-11-06
490,Gerald,Bermingham,Mr Gerry Bermingham,15,Labour,1983-06-09,NA
1083,Anthony,Berry,Sir Anthony Berry,4,Conservative,1964-10-15,NA
219,Roger,Berry,Roger Berry,15,Labour,1992-04-09,NA
4060,James,Berry,Jake Berry,4,Conservative,2017-06-08,2019-11-06
1087,Keith,Best,Keith Best,4,Conservative,1979-05-03,NA
416,Harold,Best,Mr Harold Best,15,Labour,1997-05-01,NA
394,Clive,Betts,Mr Clive Betts,15,Labour,2017-06-08,2019-11-06
747,Andrew,Bevan,David Gilroy Bevan,4,Conservative,1900-01-01,NA
4421,Mhairi,Black,Mhairi Black,29,Scottish National Party,2017-06-08,2019-11-06
692,John,Blackburn,Dr John Blackburn,4,Conservative,1900-01-01,NA
4390,Ian,Blackford,Ian Blackford,29,Scottish National Party,2017-06-08,2019-11-06
329,Elizabeth,Blackman,Liz Blackman,15,Labour,1997-05-01,NA
4005,Robert,Blackman,Bob Blackman,4,Conservative,2017-06-08,2019-11-06
4357,Kirsty,Blackman,Kirsty Blackman,29,Scottish National Party,2017-06-08,2019-11-06
1501,Roberta,Blackman-Woods,Dr Roberta Blackman-Woods,15,Labour,2017-06-08,2019-11-06
512,Anthony,Blair,Mr Tony Blair,15,Labour,1983-06-09,NA
138,Robert,Blizzard,Mr Bob Blizzard,15,Labour,1997-05-01,NA
4058,Paul,Blomfield,Paul Blomfield,15,Labour,2017-06-08,2019-11-06
395,David,Blunkett,Lord Blunkett,15,Labour,2015-09-28,NA
104,Crispin,Blunt,Crispin Blunt,4,Conservative,2017-06-08,2019-11-06
147,Paul,Boateng,Lord Boateng,15,Labour,2010-06-27,NA
344,Richard,Body,Sir Richard Body,4,Conservative,1996-04-01,NA
3995,Nicholas,Boles,Nick Boles,4,Conservative,2017-06-08,2019-04-01
1581,Peter,Bone,Mr Peter Bone,4,Conservative,2017-06-08,2019-11-06
1088,Nicholas,Bonsor,Sir Nicholas Bonsor,4,Conservative,1979-05-03,NA
1092,Vernon,Booth,Hartley Booth,4,Conservative,1992-04-09,NA
476,David,Borrow,Mr David S. Borrow,15,Labour,1997-05-01,NA
1617,Clive,Bossom,Sir Clive  Bossom,4,Conservative,1900-01-01,NA
106,Virginia,Bottomley,Baroness Bottomley of Nettlestone,4,Conservative,2005-06-24,NA
117,Peter,Bottomley,Sir Peter Bottomley,4,Conservative,2017-06-08,2019-11-06
752,Andrew,Bowden,Sir Andrew Bowden,4,Conservative,1900-01-01,NA
753,Gerald,Bowden,Gerald Bowden,4,Conservative,1900-01-01,NA
4601,Andrew,Bowie,Andrew Bowie,4,Conservative,2017-06-08,2019-11-06
754,John,Bowis,John Bowis,4,Conservative,1960-01-01,NA
686,James,Boyce,Jimmy Boyce,15,Labour,1992-04-09,NA
755,Roland,Boyes,Roland Boyes,15,Labour,1900-01-01,NA
4588,Tracy,Brabin,Tracy Brabin,15,Labour,2017-06-08,2019-11-06
277,Peter,Bradley,Peter Bradley,15,Labour,1997-05-01,NA
452,Keith,Bradley,Lord Bradley,15,Labour,2006-06-12,NA
4663,Benjamin,Bradley,Ben Bradley,4,Conservative,2017-06-08,2019-11-06
4110,Karen,Bradley,Karen Bradley,4,Conservative,2017-06-08,2019-11-06
230,Benjamin,Bradshaw,Mr Ben Bradshaw,15,Labour,2017-06-08,2019-11-06
435,Graham,Brady,Sir Graham Brady,4,Conservative,2017-06-08,2019-11-06
4373,Michael,Brady,Mickey Brady,30,Sinn Féin,2017-06-08,2019-11-06
3497,Bernard,Braine,Lord Braine of Wheatley,4,Conservative,1950-02-23,NA
151,Thomas,Brake,Tom Brake,17,Liberal Democrat,2017-06-08,2019-11-06
75,Peter,Brand,Dr Peter Brand,17,Liberal Democrat,1997-05-01,NA
759,Martin,Brandon-Bravo,Martin Brandon-Bravo,4,Conservative,1900-01-01,NA
760,Gyles,Brandreth,Gyles Brandreth,4,Conservative,1900-01-01,NA
4475,Sue-Ellen,Braverman,Suella Braverman,4,Conservative,2017-06-08,2019-11-06
761,Jeremy,Bray,Dr Jeremy Bray,15,Labour,1962-01-01,NA
226,Colin,Breed,Mr Colin Breed,17,Liberal Democrat,1997-05-01,NA
1400,Kevin,Brennan,Kevin Brennan,15,Labour,2017-06-08,2019-11-06
4643,Jack,Brereton,Jack Brereton,4,Conservative,2017-06-08,2019-11-06
4133,Andrew,Bridgen,Andrew Bridgen,4,Conservative,2017-06-08,2019-11-06
1119,Graham,Bright,Sir Graham Bright,4,Conservative,1979-05-03,NA
4067,Stephen,Brine,Steve Brine,4,Conservative,2017-06-08,2019-09-04
1120,Timothy,Brinton,Tim Brinton,4,Conservative,1979-05-03,NA
4417,Deidre,Brock,Deidre Brock,29,Scottish National Party,2017-06-08,2019-11-06
762,Christopher,Brocklebank-Fowler,Christopher Brocklebank-Fowler,32,Social Democratic Party,1981-03-16,NA
1530,James,Brokenshire,James Brokenshire,4,Conservative,2017-06-08,2019-11-06
1619,Edwin,Brooks,Edwin  Brooks,15,Labour,1900-01-01,NA
763,Michael,Brotherton,Michael Brotherton,4,Conservative,1900-01-01,NA
1008,Hugh,Brown,Hugh Brown,15,Labour,1964-10-15,NA
1055,Robert,Brown,Robert Brown,15,Labour,1966-03-31,NA
1121,Michael,Brown,Michael Brown,4,Conservative,1979-05-03,NA
4470,Alan,Brown,Alan Brown,29,Scottish National Party,2017-06-08,2019-11-06
1583,Lyn,Brown,Ms Lyn Brown,15,Labour,2017-06-08,2019-11-06
523,Nicholas,Brown,Mr Nicholas Brown,15,Labour,2017-06-08,2019-11-06
1196,John,Browne,Mr John Browne,9,Independent Conservative,1992-03-13,NA
620,Desmond,Browne,Lord Browne of Ladyton,15,Labour,2010-07-22,NA
236,Angela,Browning,Baroness Browning,4,Conservative,2010-07-09,NA
246,Ian,Bruce,Mr Ian Bruce,4,Conservative,1987-06-11,NA
615,Malcolm,Bruce,Lord Bruce of Bennachie,17,Liberal Democrat,2015-10-19,NA
3958,Fiona,Bruce,Fiona Bruce,4,Conservative,2017-06-08,2019-11-06
3100,John,Bruce-Gardyne,Lord Bruce-Gardyne,4,Conservative,1964-10-15,NA
765,Peter,Bruinvels,Peter Bruinvels,4,Conservative,1900-01-01,NA
1042,Paul,Bryan,Sir Paul Bryan,4,Conservative,1955-05-26,NA
1446,Christopher,Bryant,Chris Bryant,15,Labour,2017-06-08,2019-11-06
721,Norman,Buchan,Norman Buchan,15,Labour,1964-10-15,NA
727,Alick,Buchanan-Smith,Alick Buchanan-Smith,4,Conservative,1964-10-15,NA
1111,Philip,Buck,Sir Antony Buck,4,Conservative,1961-01-01,NA
199,Karen,Buck,Ms Karen Buck,15,Labour,2017-06-08,2019-11-06
4106,Robert,Buckland,Robert Buckland,4,Conservative,2017-06-08,2019-11-06
726,George,Buckley,George Buckley,15,Labour,1900-01-01,NA
767,James,Bulmer,Esmond Bulmer,4,Conservative,1974-02-28,NA
301,Richard,Burden,Richard Burden,15,Labour,2017-06-08,2019-11-06
4613,Michael,Burghart,Alex Burghart,4,Conservative,2017-06-08,2019-11-06
408,Colin,Burgon,Colin Burgon,15,Labour,1997-05-01,NA
4493,Richard,Burgon,Richard Burgon,15,Labour,2017-06-08,2019-11-06
238,John,Burnett,Lord Burnett,17,Liberal Democrat,2006-05-31,NA
3922,Conor,Burns,Conor Burns,4,Conservative,2017-06-08,2019-11-06
1449,David,Burnside,David Burnside,38,Ulster Unionist Party,2004-01-09,NA
1567,Lorely,Burt,Baroness Burt of Solihull,17,Liberal Democrat,2015-10-09,NA
1201,Alistair,Burt,Alistair Burt,4,Conservative,2017-06-08,2019-09-04
1157,Christopher,Butler,Christopher Butler,4,Conservative,1987-06-11,NA
1165,Peter,Butler,Peter Butler,4,Conservative,1992-04-09,NA
34,Christine,Butler,Christine Butler,15,Labour,1997-05-01,NA
1489,Dawn,Butler,Dawn Butler,15,Labour,2017-06-08,2019-11-06
241,John,Butterfill,Sir John Butterfill,4,Conservative,1983-06-09,NA
1620,Ronald,Buxton,Ronald  Buxton,4,Conservative,1900-01-01,NA
524,Stephen,Byers,Mr Stephen Byers,8,Independent,2010-03-22,NA
1171,Liam,Byrne,Liam Byrne,15,Labour,2017-06-08,2019-11-06
207,John,Cable,Sir Vince Cable,17,Liberal Democrat,2017-06-08,2019-11-06
396,Richard,Caborn,Mr Richard Caborn,15,Labour,1983-06-09,NA
768,Jocelyn,Cadbury,Jocelyn Cadbury,4,Conservative,1979-05-03,NA
4389,Ruth,Cadbury,Ruth Cadbury,15,Labour,2017-06-08,2019-11-06
4086,Alun,Cairns,Alun Cairns,4,Conservative,2017-06-08,2019-11-06
770,James,Callaghan,James Callaghan,15,Labour,1900-01-01,NA
3326,Leonard,Callaghan,Lord Callaghan of Cardiff,15,Labour,1974-02-28,NA
4412,Lisa,Cameron,Dr Lisa Cameron,29,Scottish National Party,2017-06-08,2019-11-06
1009,Ian,Campbell,Ian Campbell,15,Labour,1970-06-01,NA
118,Anne,Campbell,Mrs Anne Campbell,15,Labour,1992-04-09,NA
627,Menzies,Campbell,Lord Campbell of Pittenweem,17,Liberal Democrat,2015-10-13,NA
529,Alan,Campbell,Sir Alan Campbell,15,Labour,2017-06-08,2019-11-06
1409,Gregory,Campbell,Mr Gregory Campbell,7,Democratic Unionist Party,2017-06-08,2019-11-06
514,Ronnie,Campbell,Mr Ronnie Campbell,15,Labour,2017-06-08,2019-11-06
499,Dale,Campbell-Savours,Lord Campbell-Savours,15,Labour,2001-07-04,NA
680,Dennis,Canavan,Dennis Canavan,8,Independent,1999-03-26,NA
135,James,Cann,Mr Jamie Cann,15,Labour,1992-04-09,NA
772,Robert,Cant,Robert Cant,15,Labour,1966-03-31,NA
27,Ivor,Caplin,Mr Ivor Caplin,15,Labour,1997-05-01,NA
4651,Daniel,Carden,Dan Carden,15,Labour,2017-06-08,2019-11-06
775,John,Carlisle,John Carlisle,4,Conservative,1979-05-03,NA
773,Kenneth,Carlisle,Sir Kenneth Carlisle,4,Conservative,1979-05-03,NA
1037,Neil,Carmichael,Neil Carmichael,15,Labour,1962-01-01,NA
1442,Alexander,Carmichael,Mr Alistair Carmichael,17,Liberal Democrat,2017-06-08,2019-11-06
716,Michael,Carr,Mike Carr,15,Labour,1990-05-24,NA
1213,Michael,Carr,Mr Michael Carr,17,Liberal Democrat,1991-03-07,NA
1206,Matthew,Carrington,Lord Carrington of Fulham,4,Conservative,2013-09-11,NA
882,Owen,Carron,Owen Carron,2,Anti H Block,1981-08-20,NA
1623,John,Carson,John  Carson,38,Ulster Unionist Party,1900-01-01,NA
1624,Raymond,Carter,Raymond  Carter,15,Labour,1900-01-01,NA
776,Lewis,Carter-Jones,Lewis Carter-Jones,15,Labour,1964-10-15,NA
4519,James,Cartlidge,James Cartlidge,4,Conservative,2017-06-08,2019-11-06
777,Michael,Carttiss,Michael Carttiss,4,Conservative,1995-04-01,NA
1020,John,Cartwright,John Cartwright,12,Independent SDP,1990-06-03,NA
213,Roger,Casale,Roger Casale,15,Labour,1997-05-01,NA
288,William,Cash,Sir William Cash,4,Conservative,2017-06-08,2019-11-06
4492,Maria,Caulfield,Maria Caulfield,4,Conservative,2017-06-08,2019-11-06
369,Ian,Cawsey,Mr Ian Cawsey,15,Labour,1997-05-01,NA
4481,Alexander,Chalk,Alex Chalk,4,Conservative,2017-06-08,2019-11-06
778,Lynda,Chalker,Baroness Chalker of Wallasey,4,Conservative,1992-04-24,NA
1434,Colin,Challen,Colin Challen,15,Labour,2001-06-07,NA
4267,Sarah,Champion,Sarah Champion,15,Labour,2017-06-08,2019-11-06
779,Henry,Channon,Paul Channon,4,Conservative,1959-10-08,NA
684,Sybil,Chaplin,Mrs Judith Chaplin,4,Conservative,1992-04-09,NA
492,James,Chapman,Ben Chapman,15,Labour,1997-02-27,NA
4402,Douglas,Chapman,Douglas Chapman,29,Scottish National Party,2017-06-08,2019-11-06
3972,Jennifer,Chapman,Jenny Chapman,15,Labour,2017-06-08,2019-11-06
4610,Charalambos,Charalambous,Bambos Charalambous,15,Labour,2017-06-08,2019-11-06
1626,Christopher,Chataway,Christopher  Chataway,4,Conservative,1900-01-01,NA
4419,Joanna,Cherry,Joanna Cherry,29,Scottish National Party,2017-06-08,2019-11-06
1627,Robin,Chichester-Clark,Sir Robin  Chichester-Clark,38,Ulster Unionist Party,1900-01-01,NA
50,David,Chidgey,Lord Chidgey,17,Liberal Democrat,2005-06-17,NA
598,Malcolm,Chisholm,Mr Malcolm Chisholm,15,Labour,1992-04-09,NA
3987,Atta-Ur-Rehman,Chishti,Rehman Chishti,4,Conservative,2017-06-08,2019-11-06
242,Christopher,Chope,Sir Christopher Chope,4,Conservative,2017-06-08,2019-11-06
158,Judith,Church,Ms Judith Church,15,Labour,1994-06-09,NA
1081,Winston,Churchill,Winston Churchill,4,Conservative,1970-06-18,NA
4380,Johanna,Churchill,Jo Churchill,4,Conservative,2017-06-08,2019-11-06
388,Michael,Clapham,Mr Michael Clapham,15,Labour,1992-04-09,NA
1628,Henry,Clark,Henry  Clark,38,Ulster Unionist Party,1900-01-01,NA
1074,William,Clark,Sir William Clark,4,Conservative,1970-01-01,NA
673,Alan,Clark,Alan Clark,4,Conservative,1974-02-28,NA
41,Michael,Clark,Dr Michael Clark,4,Conservative,1983-06-09,NA
122,Helen,Clark,Mrs Helen Clark,15,Labour,1997-05-01,NA
83,Paul,Clark,Paul Clark,15,Labour,1997-05-01,NA
525,David,Clark,Lord Clark of Windermere,15,Labour,2001-07-02,NA
4650,Colin,Clark,Colin Clark,4,Conservative,2017-06-08,2019-11-06
1578,Gregory,Clark,Greg Clark,4,Conservative,2017-06-08,2019-09-04
4522,Rebecca,Clark (Pow),Rebecca Pow,4,Conservative,2017-06-08,2019-11-06
1629,Philip,Clarke,Philip  Clarke,30,Sinn Féin,1900-01-01,NA
624,Eric,Clarke,Mr Eric Clarke,15,Labour,1992-04-09,NA
130,Charles,Clarke,Mr Charles Clarke,15,Labour,1997-05-01,NA
355,Anthony,Clarke,Mr Tony Clarke,15,Labour,1997-05-01,NA
366,Kenneth,Clarke,Mr Kenneth Clarke,4,Conservative,2017-06-08,2019-09-04
4655,Simon,Clarke,Mr Simon Clarke,4,Conservative,2017-06-08,2019-11-06
1139,Robert,Clay,Bob Clay,15,Labour,1983-06-09,NA
780,Walter,Clegg,Sir Walter Clegg,4,Conservative,1966-03-31,NA
528,David,Clelland,Mr David Clelland,15,Labour,1985-12-05,NA
4366,James,Cleverly,James Cleverly,4,Conservative,2017-06-08,2019-11-06
249,Geoffrey,Clifton-Brown,Sir Geoffrey Clifton-Brown,4,Conservative,2017-06-08,2019-11-06
553,Ann,Clwyd,Ann Clwyd,15,Labour,2017-06-08,2019-11-06
360,Vernon,Coaker,Vernon Coaker,15,Labour,2017-06-08,2019-11-06
1630,John,Cockcroft,John  Cockcroft,4,Conservative,1900-01-01,NA
781,Eric,Cockeram,Eric Cockeram,4,Conservative,1970-06-18,NA
782,Michael,Cocks,Michael Cocks,15,Labour,1900-01-01,NA
1631,Denis,Coe,Denis  Coe,15,Labour,1900-01-01,NA
783,Sebastian,Coe,Lord Coe,4,Conservative,2000-06-16,NA
458,Ann,Coffey,Ann Coffey,15,Labour,2017-06-08,2019-02-18
4098,Thérèse,Coffey,Dr Thérèse Coffey,4,Conservative,2017-06-08,2019-11-06
1064,Stanley,Cohen,Stanley Cohen,15,Labour,1970-06-18,NA
192,Harry,Cohen,Harry Cohen,15,Labour,1983-06-09,NA
723,Donald,Coleman,Donald Coleman,15,Labour,1964-10-15,NA
174,Iain,Coleman,Mr Iain Coleman,15,Labour,1997-05-01,NA
498,Timothy,Collins,Mr Tim Collins,4,Conservative,1997-05-01,NA
3986,Damian,Collins,Damian Collins,4,Conservative,2017-06-08,2019-11-06
198,Anthony,Colman,Mr Tony Colman,15,Labour,1997-05-01,NA
1632,Maureen,Colquhoun,Maureen  Colquhoun,15,Labour,1900-01-01,NA
675,Michael,Colvin,Michael Colvin,4,Conservative,1900-01-01,NA
784,John,Concannon,Don Concannon,15,Labour,1966-03-31,NA
785,Bernard,Conlan,Bernard Conlan,15,Labour,1964-10-15,NA
1202,Derek,Conway,Derek Conway,9,Independent Conservative,2008-01-30,NA
623,Robert,Cook,Mr Robin Cook,15,Labour,1974-02-28,NA
786,Anthony,Coombs,Anthony Coombs,4,Conservative,1900-01-01,NA
1203,Simon,Coombs,Mr Simon Coombs,4,Conservative,1900-01-01,NA
4405,Julie,Cooper,Julie Cooper,15,Labour,2017-06-08,2019-11-06
1538,Rosemary,Cooper,Rosie Cooper,15,Labour,2017-06-08,2019-11-06
420,Yvette,Cooper,Yvette Cooper,15,Labour,2017-06-08,2019-11-06
787,John,Cope,Lord Cope of Berkeley,4,Conservative,1997-10-04,2020-05-13
185,Jeremy,Corbyn,Jeremy Corbyn,15,Labour,2017-06-08,2019-11-06
282,Patrick,Cormack,Lord Cormack,4,Conservative,2010-12-18,NA
788,John,Corrie,John Corrie,4,Conservative,1974-02-28,NA
215,Jean,Corston,Baroness Corston,15,Labour,2005-06-29,NA
4439,Alberto,Costa,Alberto Costa,4,Conservative,2017-06-08,2019-11-06
789,Albert,Costain,Sir Albert Costain,4,Conservative,1900-01-01,NA
3786,Brian,Cotter,Lord Cotter,17,Liberal Democrat,1997-05-01,NA
3786,Brian,Cotter,Lord Cotter,17,Liberal Democrat,2006-05-30,NA
790,James,Couchman,James Couchman,4,Conservative,1900-01-01,NA
4589,Robert,Courts,Robert Courts,4,Conservative,2017-06-08,2019-11-06
521,James,Cousins,Jim Cousins,15,Labour,1987-06-11,NA
4465,Ronald,Cowan,Ronnie Cowan,29,Scottish National Party,2017-06-08,2019-11-06
791,Harry,Cowans,Harry Cowans,15,Labour,1976-11-05,NA
205,Thomas,Cox,Tom Cox,15,Labour,1970-06-18,NA
1508,Charles,Cox,Mr Geoffrey Cox,4,Conservative,2017-06-08,2019-11-06
4368,Neil,Coyle,Neil Coyle,15,Labour,2017-06-08,2019-11-06
1554,Stephen,Crabb,Stephen Crabb,4,Conservative,2017-06-08,2019-11-06
792,James,Craigen,Jim Craigen,15,Labour,1974-02-28,NA
368,James,Cran,Mr James Cran,4,Conservative,1987-06-11,NA
309,Ross,Cranston,Sir Ross Cranston,15,Labour,1997-05-01,NA
437,David,Crausby,Sir David Crausby,15,Labour,2017-06-08,2019-11-06
4469,Angela,Crawley,Angela Crawley,29,Scottish National Party,2017-06-08,2019-11-06
1579,Mary,Creagh,Mary Creagh,15,Labour,2017-06-08,2019-11-06
4088,Stella,Creasy,Stella Creasy,15,Labour,2017-06-08,2019-11-06
661,Julian,Critchley,Sir Julian Critchley,4,Conservative,1959-10-08,NA
794,David,Crouch,Sir David Crouch,4,Conservative,1900-01-01,NA
3950,Tracey,Crouch,Tracey Crouch,4,Conservative,2017-06-08,2019-11-06
1406,Jonathan,Cruddas,Jon Cruddas,15,Labour,2017-06-08,2019-11-06
690,George,Cryer,Bob Cryer,15,Labour,1974-02-28,NA
412,Constance,Cryer,Mrs Ann Cryer,15,Labour,1997-05-01,NA
181,John,Cryer,John Cryer,15,Labour,2017-06-08,2019-11-06
509,John,Cummings,John Cummings,15,Labour,1987-06-11,NA
4391,Judith,Cummins,Judith Cummins,15,Labour,2017-06-08,2019-11-06
447,Lawrence,Cunliffe,Mr Lawrence Cunliffe,15,Labour,1979-05-03,NA
1100,George,Cunningham,George Cunningham,32,Social Democratic Party,1982-06-16,NA
633,Roseanna,Cunningham,Ms Roseanna Cunningham,29,Scottish National Party,1995-05-25,NA
496,John,Cunningham,Lord Cunningham of Felling,15,Labour,2014-01-08,NA
4122,Alexander,Cunningham,Alex Cunningham,15,Labour,2017-06-08,2019-11-06
308,James,Cunningham,Mr Jim Cunningham,15,Labour,2017-06-08,2019-11-06
1140,Edwina,Currie,Mrs Edwina Currie,4,Conservative,1983-06-09,NA
383,David,Curry,Mr David Curry,4,Conservative,1987-06-11,NA
480,Claire,Curtis-Thomas,Mrs Claire Curtis-Thomas,15,Labour,1997-05-01,NA
4698,Janet,Daby,Janet Daby,15,Labour,2018-06-14,2019-11-06
674,Cynog,Dafis,Cynog Dafis,22,Plaid Cymru,1992-04-09,NA
